,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157
619,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,,,,,,,,,,,,,,,,,,,-10.0,,-5.84,,,,,4.33,,,,,,0.0,,,-6.68,,,,,,,,,,,,,,,-4.96,,,-2.32,0.0,,,,,,0.0,,,,,-4.57,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.19,,,,,,0.0,10.0,,0.0,,,,,,,,,,,,,,,,,,4.14,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,-6.25,,,,
622,,,,,,,,,,,,,,,,,,,-4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,,,,,,,,,,,,,,,,,,,-14.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,,,,,,,,,,,,,,,,,,,-6.1,,,,,,,,,,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.59,,,,,,4.41,,,,5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,-4.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,,,,,,,,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,,-3.05,,,,,,,,,,,,,,2.36,,,,,,,,,,,,,,,,6.46,,,,,,3.29,,,,,,,,,,,,,,,,3.74,-2.48,,,,,,,,,,,,,,,,-4.47,,,,,,,,,,,,,,7.07,,-4.39,,,,,,-3.9,,,,,,,,,,,7.89,,,,,,,,,,,,,-5.98,,,,,3.58,,
626,,,,,,,,,,,,,,,,,,,2.15,,,,,,,,,,,,,,,,3.33,,,,,,,,,,,,,,,,,,8.8,,,,,,,,,,,,,,,,,,,6.67,,,,,,,,,,,,,,,,,-2.91,,,,,,,,,,,,,,,,7.03,1.97,,8.94,,,,,,,,,,,,,,,,,,,,,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,,,,,,,,,,,,,,,,,,,2.13,,,,,,,,,,,,,,,,-6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.22,,,,,,,,,,,,,,,,,-8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,,,,,,,,,,,,,,,,,,,1.69,,,,,,,,,,,,,2.42,,,-7.09,,,,,,,,,,,,,,,-2.74,,,,,,,,,,,,-4.09,,,,,,,,,,4.37,,,,,,,,,,,,,,,,,6.26,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,-6.0,,,,,,,,-5.73,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,3.92,,
629,,,,,,,,,,,,,,,,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.47,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,10.0,,,6.99,,,3.66,,,,,,,,,,,,,,,,,,10.0,2.8,,,,,,,,10.0,10.0,,,,,7.26,,,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,4.27,10.0,,,,,,,,3.82,,,,,,,,,,,,5.53,,,,,,,,,,,,,,,,,,,,,,,,,,7.89,,,,0.0,-3.33,-2.44
632,,,,,,,,4.47,,,,,1.18,,,,,-3.46,0.0,,,,0.0,-10.0,,-6.57,,,,,,,,,-6.02,-5.79,,,,,,-6.18,,,,,,,,0.49,,,,,-10.0,,,,0.0,-6.06,,,-2.4,,-10.0,,,0.0,,,3.09,0.73,,,,,,-0.12,,,,,,,,,,,0.0,,,,,4.8,,1.18,,,,,,,,1.63,-10.0,,-10.0,,-7.48,0.0,,,,-5.69,,,,,-10.0,,,,,,,,-0.2,-5.47,,,,0.85,,,,,0.0,,,,,,,,,,,,-6.77,,-10.0,-10.0,0.0,-9.8,-10.0,0.0,-10.0,4.76
633,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,,,,,,,,,,,,,,,,,,,-5.12,,,,,,,,,,,,,,,,0.98,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,3.33,,,,,,,,,,,,3.74,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.83,
635,,,,,,,,,,,,,,,,,,,5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,-4.47,,,,,,,,,,,,,,,,,,,,,-5.53,,,0.0,,,,,,,,,,,,,,,,,,,-2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,,,,,,,,,,,,,,,,,,,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,,,,,,,,,,,,,,,,,,,6.77,,,,,,,,,,,,,,,,-5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,,,,,,,,,,,,,,,,,,,3.66,,,,,,,,,,,,,,,,-4.72,,,,,,,,,,,,,,,-2.24,,,-5.06,,,,,,,,,,,,,,,,,,,2.56,,,,,,,,,,,,,,,,,,,,,,,,1.87,,,,,,,,,-4.15,,-3.74,,,,,,,,,,,,,,,,,,,,-3.56,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-3.82,,,
641,,,,,,,,,,,,,,,,,,,-6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,,,,,,,,,,,,,,,,,,,-2.4,,,,,,,,,,,,,,,,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,,,,,,,,,,,,,,,,,,,,,,-9.41,,,,,,,,,,,8.62,,,,,,,,,,,,,,,,,,,,
643,,,,,,,,,,,,,,,,,,,2.74,,,,,,,,,,,,,-3.92,,,6.28,-1.12,,,,,,,,,,,,,,7.87,,,,,,,,,,,,,,,,,,,,,,4.17,,,,,,,,,,,,,,,,,7.13,,,,,,,,,,,,,,,,3.19,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,1.93,,,,,,
644,,,,,,,,,,,,,,,,,,,10.0,,10.0,,,,,,,,,,,-10.0,,,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,,,,5.75,,-10.0,,,,,,,,,,,,,,,,,,-10.0,,10.0,,,,,,,-10.0,,,,,,,,,,,,,,,,,,,,,,,,
645,,,,,,,-4.67,1.3,,,,,-6.14,,0.0,-5.04,,-1.3,-5.61,,,0.0,3.13,,-4.63,,,-4.17,,,,-6.51,,-5.0,-1.12,-5.41,,4.88,,,,-3.21,,-7.4,,,-4.94,,,0.83,,,-2.83,1.0,,,,,1.87,2.44,,,-5.1,,,-4.33,,1.89,,,-3.33,1.14,,,,,,,,,,-5.53,-8.48,,-5.16,,,,2.74,,-5.55,,-4.82,-5.41,0.0,2.2,3.74,-6.0,,,,-3.33,6.1,1.08,5.06,,0.0,,,-4.8,5.47,,-5.2,-5.22,,,-4.78,-0.8500000000000001,-6.59,,,,,,,3.7,-6.85,,,,-4.13,,,-5.16,-5.24,-5.65,,,,0.0,-3.86,,,,,-10.0,,-8.26,-1.46,-3.8,-2.74,0.75,-7.07,1.06,2.68,-5.53,0.0,-5.69
646,,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,4.76,,,,,,-3.66,0.0,,,,5.16,,,,,,,,,,6.75,,,5.1,,,0.69,,,,,,,,,,0.0,,0.0,,,,-10.0,,,,,,,,,,,,,,,,0.0,4.41,,,,,,,,10.0,,,,,,,,6.97,4.65,3.6,2.48,,,,7.2,,,,,4.94,,6.59,,6.18,5.41,,,,,5.22,-4.37,,,,,,,,,,1.95,,,,,,,,,,,,3.68,,-4.27,0.0,,3.25,,4.88,10.0
647,,,,,,,,-5.04,,,,,5.53,,,,,,-10.0,,5.16,,,,,0.0,,,,,,,,,5.89,-5.61,,,,,,,,,,,,,,-0.24,,,,,,5.77,,,,,,,,,-5.37,-5.93,,,,,,-10.0,,,,,,,,,5.0,,0.0,,,,0.0,0.0,,,,,,,,-5.08,,0.0,,,-9.88,,,,5.47,,5.3,,,,,10.0,,,,,,0.0,10.0,,4.55,,,,0.0,,5.1,0.0,,,,-5.61,,,0.0,,,-9.88,,,,-9.9,,,4.84,,,,,,,,-5.73,0.0,,,-5.81,
648,,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,-2.52,0.0,,,,,,,,,,,,,,2.24,,,,,,,,,,,,,,,,,,,,,,-5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,,,,,,,,,,,,,,,,,,,-7.64,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,,,,,,,,6.71,,,,,,,,,,,-3.66,,,,,,,,,,,,,,,,-3.29,-9.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.46,,,,,,,,,,,,,,,,,4.25,,,,,-9.72,,,,,,,,,,,2.28,,-2.07,,,,,,,,,,,,,,,,,,,-10.0,-2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.93,,
651,,,,,,,,,,,,,,,,,-7.07,,-4.92,,,,,,,,,,,,,,,,1.85,0.0,,,,,,,,,,,,,,-3.92,,,,,,0.0,,,,,,,,,-3.56,-10.0,,,,,,-8.33,,,,,,,,,,,,,,,,9.63,,,,,,,,,,,,,,0.0,,,1.85,,7.09,,,,,4.51,,,,,,,0.0,,4.72,,,,-4.33,,4.86,-8.15,,,,8.17,,,,,,1.91,,,,,,,,,,,,,,,-10.0,,,-8.9,,
652,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74,,,,,,,,,,,,,,,,,,,,,,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,,,,,,,,,,,,,,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,,,,,,,-1.38,-5.57,,,,,-7.24,,,-7.85,-0.81,,-5.57,,,,,,,,,2.64,,,,,,,0.63,-4.67,,-1.34,-6.95,,,-6.14,,,,-3.46,,,,0.91,,,5.79,-0.8,,1.03,,-2.85,,,,,,-2.11,,1.24,,,,,,-7.36,,,-5.53,,,,,,,,1.48,0.89,,,,3.82,3.35,,2.86,3.47,,3.33,,2.52,,,0.89,,,,,,-2.87,-1.37,3.55,,,,,3.17,-4.63,,-1.24,,,3.09,-2.85,-2.87,-5.81,,-5.12,,,,-3.24,2.37,,,,-8.05,,,2.8,,2.11,1.71,,,-5.12,,,,0.79,0.75,-1.06,,-3.98,-2.22,-4.78,-2.18,-1.67,-2.36,-3.82,-5.12,1.83,-6.99
655,,,,,,,,,,,,,,,,,,,-3.41,,,,,,,,,,,,,,,,2.56,,,,,,,,,,,,,,,,,,2.28,,,,,,,,,,,,,,,1.14,,,,1.54,,,,,,,,,,,,,,,,,2.97,,,,,,,,,,,,,,,2.68,-0.2,,,,,,,,,4.43,,,,,,,,,,,,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,,,,,,,,,,,,,,,,,,,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71,,,-10.0,,,7.64,-9.82,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.74,,,,,,,,,,,,,,,,,,,,,,-6.81,,3.43,,,,,,,,,10.0,,,,,,,,,,,,,,,5.96,,-3.6,,,
657,,,,,,,,,,,,,,,,,,,-6.46,,,,,,,,,,,,,,,,-6.46,-2.72,,,,,,,,,,,,,,0.93,,,-4.88,,,,,,,,,,,,,,,,,,,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.59,,,,,,,,,,,,,,-4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.42,,,,,,,,
658,,,,,,,,,,,,,,,,,,,-8.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,,,,,,,,,,,,,,,,,,,-4.53,,,,,,,-4.64,,,,,,,,,-0.94,2.88,,,,,,,,,,,,,,3.49,,,0.0,0.63,,,,,,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,4.79,,,,,,,,,0.0,,1.68,3.99,,,,,,,,,,,-1.14,,,,,,2.57,,-0.96,,0.0,,,4.89,,,,,,,,,,,,,,,,,,,,,-6.8,,-4.78,,-1.69,
660,,,,,,,,,,,,,,,,,,,-2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,,,,,,,,,,,,,,,,,,,-2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662,,,,,,,,,,,,,,,,,,,-2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,0.0,,,,,,,0.0,1.95,,,,,,,,,,,,,,0.0,,,1.81,3.19,0.85,,,,,,,3.7,6.57,,,,,,2.7,,,2.64,,,-9.59,,0.57,-1.59,,,,,,,,,,,,,,0.63,0.0,,,4.51,4.27,,1.1300000000000001,,,,,-2.22,-1.08,,-2.22,-1.83,,,,,,4.41,-3.27,,,,-3.05,0.91,,,,,,,-1.04,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,-2.95,3.78,1.1,-2.11,1.26,0.0,0.0
664,,,,,,,,-2.76,,,,,,,-2.8,,,,-5.24,,0.0,,,,,0.0,,2.17,,,,-3.11,,,-7.58,-3.9,,0.0,0.0,1.34,,,,,,0.0,,,,,,,-4.21,,,,,,,0.0,,,1.52,,0.0,,,,,-2.64,,-4.35,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,8.76,,0.0,0.0,,1.95,,1.02,-2.68,0.0,,,,,,-2.42,1.69,,-3.31,,,,,,0.0,,,,,0.0,-3.31,,,,,,0.0,0.0,7.3,,,0.0,,,-1.54,,-2.15,,0.0,,,,,0.0,,0.0,0.0,,,,-2.24,,0.0,-2.99,0.0,0.0,1.26,-1.67,0.0,1.22
665,,,,,,,,,,,,,,,,,,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,,,,,,,,0.77,,,,,1.83,,,,,1.42,-3.94,,,,,,,,,-2.48,2.56,-1.71,,-1.22,,,2.93,3.94,,,,,,,,,,-2.44,-1.95,7.15,1.91,1.42,,,4.11,-2.2,,-3.01,,,,,,-2.28,2.11,,2.6,-3.17,,-2.28,1.02,,-1.91,-6.22,,,,5.33,,,,,-2.89,,1.79,,1.59,,,3.21,0.65,,,,-1.38,,,,4.55,,,,,,,2.97,2.4,-2.72,-3.21,-1.26,,7.68,1.63,2.28,,,,,2.24,,1.67,,1.95,8.25,,,,1.1,2.97,-4.15,1.18,,,1.75,,1.54,,,,1.95,,,-3.9,,-2.85,,,-2.07,-2.28,2.2,,3.78,-3.5,-2.68,-1.99,-1.26,0.0,2.15,0.89,4.84
668,,,,,,,,,,,,,,,,,,,-2.65,,,,,,,2.92,,,,,,,,2.3,3.29,2.92,,,,,,,,,,,,,,2.82,,,0.0,,,,,,,,,0.0,,,,-2.61,,,,,,7.39,,,,,,,,,,,,,,-6.98,,,,,,,,-4.66,,,,,,,,,,-1.95,-0.93,,3.91,1.55,,,,,,,,,0.72,,-0.62,,,,,,-3.19,,6.96,,8.26,,,1.78,,,,,,,,,,,,,,,,2.34,,,-3.35,0.0,-3.95,-6.13,,,,-6.29
669,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0
670,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,,,,,,,,0.65,,,,,1.18,,,,,-4.8,0.0,,,0.93,,-1.71,,,,-2.52,,0.0,,-2.64,,,1.75,0.57,,0.0,-1.87,4.47,,,,-1.95,,,0.0,-1.22,0.85,1.02,,,-2.15,0.0,,2.11,-3.58,-8.94,2.28,0.0,,0.69,3.86,0.0,1.5,-1.1,,2.15,-1.26,2.15,-1.95,1.67,,,,4.43,,,,,,,,-1.38,-1.54,-3.01,-0.49,0.0,,,,,2.03,,,-1.34,0.0,,-1.5,,,,1.1,2.32,0.0,3.13,-1.87,-2.68,,-2.56,,2.28,,0.0,-1.18,,,-0.3599999999999999,-3.01,,-1.22,0.77,,,-5.2,-1.95,0.0,-1.95,0.0,-4.55,-1.59,-2.28,,-3.17,-1.79,-6.459999999999999,1.63,0.0,,-4.15,,,2.48,,,,,1.99,-1.79,-1.63,0.0,0.69,-2.97,1.14,1.1,-3.29,0.89,-2.36
672,,,,,,,,,,,,,,,,,,,-2.8,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,,,,,,,,,,,,,,,,,,,3.41,,,,,,,,,,,,,3.46,,,,,,,,,,,,,,,,,0.0,,,,4.9,,,,,,,,,9.55,,,,,,4.45,,,,3.62,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,-0.12,2.54,,,,,,,,,,,,,,,,,,,,,,,,9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.46,,
674,,,,,,,,-5.53,,,,,-1.46,,1.95,,,3.58,-3.21,,,,-4.59,,,,,,,,,-2.32,,,-1.38,0.69,,,,,,,,,,,,,,0.69,,,-3.8,,,3.54,,,,,,,3.05,,,-1.71,,,,,,-3.78,,,,,,,,,-1.59,,-9.27,,,-5.2,,-1.42,-6.04,,,,,-9.11,,,,,,,,0.61,,,-1.1,,0.69,,,,,-4.88,,,,,,,-1.18,,0.73,,,,-1.46,-1.63,-7.58,-2.64,,,,0.0,,,,,,-2.28,,,,,,,,,,,,,-4.15,0.73,-4.35,0.98,-6.91,,2.44,-2.32
675,,,,,,,,,,,,,,,,,,,3.29,,,,,,,,,,,,,0.0,,,3.35,,,,,,,,,,,,,,,3.48,,,2.78,,,,,,,,,,,,,,,-4.04,,,,4.84,,,,,,,,,,,,,,,,,4.94,,,,,,,,,,,,,,,,3.23,,,,,,,,,,,,,,,,,,,,,,-5.43,,,,,-2.4,,,,,,-4.76,,,,,,,,,,,0.0,,-6.2,-5.75,,,,,,0.0
676,,,,,,,,,,,,,,,,,,,-9.57,,0.0,,,,,0.0,,,,,,,,,-3.52,-3.6,,,,,,,,,,,,,,0.0,,,-6.06,0.0,,,,,,,,,,,0.0,,,,,,,2.34,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,,,4.94,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,-3.94,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,
677,,,,,,,,,,,,,,,,,,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,,,,,,,5.08,9.15,,,,,7.89,,4.47,,2.44,-1.18,1.75,,4.31,-6.91,6.42,0.0,2.24,1.18,,-3.5,-6.14,-3.05,,2.56,0.81,-4.02,4.8,5.08,2.44,,2.24,6.91,3.9,-6.54,,-1.79,,1.95,-4.84,-4.23,3.7,10.0,,,2.15,,-1.0999999999999999,-0.85,3.17,9.59,4.23,-7.2,,9.71,-3.54,8.05,-3.21,-2.93,13.94,8.46,4.47,6.71,,6.47,,,-4.84,2.07,12.8,5.57,-3.09,,,-3.94,,-7.15,-9.02,3.58,,3.66,,3.01,10.0,3.05,-4.88,6.87,-2.24,7.76,2.48,,4.67,,0.0,2.2,2.76,4.92,2.89,-3.54,-4.43,8.98,4.43,1.34,5.12,0.0,6.91,4.19,,,1.83,5.04,-5.37,2.15,,8.25,1.54,5.33,-6.91,15.81,7.97,5.89,,-6.87,7.44,-2.85,2.64,3.09,-3.9,5.33,-3.01,10.0,-3.25,,-9.43,,2.6,,1.95,-4.07,0.0,-3.21,-3.82,5.61,1.79,1.67,2.97,7.68,-0.41,-3.62,8.78,6.1
679,,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
